eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
28,1,03:57,FLA,VGK,right,stoppage,,,,,,,,,,,goalie-stopped-after-sog,,,,,,,,,,,,,,,,,,,,,
68,1,03:57,FLA,VGK,right,faceoff,54.0,8477933.0,8476448.0,-69.0,-22.0,O,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1,03:59,FLA,VGK,right,blocked-shot,54.0,,,-68.0,-14.0,D,,,8477933.0,8475188.0,,,,,,,,,,,,,,,,,,,,,,
29,1,04:45,FLA,VGK,right,stoppage,,,,,,,,,,,offside,,,,,,,,,,,,,,,,,,,,,
69,1,04:45,FLA,VGK,right,faceoff,54.0,8477935.0,8478403.0,20.0,22.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,05:03,FLA,VGK,right,takeaway,13.0,,,-83.0,-3.0,D,,,,,,8478055.0,,,,,,,,,,,,,,,,,,,,
31,1,05:03,FLA,VGK,right,hit,54.0,,,-87.0,-31.0,O,8476539.0,8478055.0,,,,,,,,,,,,,,,,,,,,,,,,
32,1,05:15,FLA,VGK,right,giveaway,54.0,,,-68.0,-30.0,O,,,,,,8477964.0,,,,,,,,,,,,,,,,,,,,
70,1,05:22,FLA,VGK,right,shot-on-goal,13.0,,,60.0,0.0,O,,,,8477932.0,,,snap,8478499.0,3.0,3.0,,,,,,,,,,,,,,,,
33,1,05:37,FLA,VGK,right,giveaway,13.0,,,-12.0,-5.0,N,,,,,,8478400.0,,,,,,,,,,,,,,,,,,,,
34,1,05:58,FLA,VGK,right,hit,13.0,,,0.0,-39.0,N,8470595.0,8474166.0,,,,,,,,,,,,,,,,,,,,,,,,
71,1,06:34,FLA,VGK,right,blocked-shot,54.0,,,-61.0,1.0,D,,,8477986.0,8475913.0,,,,,,,,,,,,,,,,,,,,,,
35,1,06:35,FLA,VGK,right,stoppage,,,,,,,,,,,puck-in-netting,,,,,,tv-timeout,,,,,,,,,,,,,,,
73,1,06:35,FLA,VGK,right,faceoff,13.0,8476905.0,8477493.0,-69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
